Entity,Code,Year,Life satisfaction in Cantril Ladder (World Happiness Report 2021),Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number),Prevalence - Mental disorders - Sex: Both - Age: All Ages (Number),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Continent
Algeria,DZA,2017,5.249,1661264,5685172,2.5,12,Africa
Benin,BEN,2017,4.853,359569,1164606,8,2.44,Africa
Botswana,BWA,2017,3.505,88013,250640,17.4,17.46,Africa
Cameroon,CMR,2017,5.074,918435,2788275,9,3.41,Africa
Central African Republic,CAF,2017,3.476,229634,644781,14.3,4.17,Africa
Chad,TCD,2017,4.559,483542,1505957,6.7,1.89,Africa
Congo,COG,2017,4.884,232153,584782,6.6,9.75,Africa
Egypt,EGY,2017,3.929,3462867,13124899,3,11.74,Africa
Ethiopia,ETH,2017,4.18,3323442,10845017,5.4,2.12,Africa
Gabon,GAB,2017,4.782,83811,206543,8.8,19.93,Africa
Gambia,GMB,2017,4.118,84997,235280,4.9,9.12,Africa
Ghana,GHA,2017,5.481,1066706,3103375,7,4.22,Africa
Guinea,GIN,2017,4.874,367455,1199598,7,4.26,Africa
Kenya,KEN,2017,4.476,1719367,5147245,5.6,2.69,Africa
Lesotho,LSO,2017,3.795,99649,251638,78.3,24.13,Africa
Liberia,LBR,2017,4.424,176184,530637,4.5,3,Africa
Libya,LBY,2017,5.647,310295,1028254,5.5,18.61,Africa
Madagascar,MDG,2017,4.079,887914,2824266,5.5,1.73,Africa
Malawi,MWI,2017,3.417,509042,1864109,5.9,5.7,Africa
Mali,MLI,2017,4.742,481515,1796472,4.1,7.41,Africa
Mauritania,MRT,2017,4.678,106679,357350,3.1,10.34,Africa
Mauritius,MUS,2017,6.174,56924,159887,9.6,6.75,Africa
Morocco,MAR,2017,5.312,1838421,5441736,7.1,9.19,Africa
Mozambique,MOZ,2017,4.28,927945,3036926,13.4,3.31,Africa
Namibia,NAM,2017,4.441,71783,234908,10.9,21.57,Africa
Niger,NER,2017,4.616,551037,1997807,5.3,0.49,Africa
Nigeria,NGA,2017,5.322,5444529,18563673,3.6,8.39,Africa
Rwanda,RWA,2017,3.108,477022,1384172,5.6,1.06,Africa
Senegal,SEN,2017,4.683,436681,1395953,6.2,6.61,Africa
Sierra Leone,SLE,2017,4.09,256922,850680,6.3,4.5,Africa
South Africa,ZAF,2017,4.514,2342337,6377252,25.2,27.04,Africa
South Sudan,SSD,2017,2.817,291586,955837,3.7,12.23,Africa
Tanzania,TZA,2017,3.347,1789578,5633429,4.2,2.03,Africa
Togo,TGO,2017,4.361,259170,822051,9,3.74,Africa
Tunisia,TUN,2017,4.124,611002,1787785,3.1,15.38,Africa
Uganda,UGA,2017,4.001,1677164,4512643,4.4,1.79,Africa
Zambia,ZMB,2017,3.933,515695,1751295,8.5,11.63,Africa
Zimbabwe,ZWE,2017,3.638,371659,1399346,15,5.15,Africa
Algeria,DZA,2018,5.043,1699104,5781481,2.5,11.89,Africa
Benin,BEN,2018,5.82,373357,1205401,7.9,2.37,Africa
Botswana,BWA,2018,3.461,90331,255743,17.4,17.32,Africa
Burundi,BDI,2018,3.775,378797,1267052,6.3,1.45,Africa
Cameroon,CMR,2018,5.251,953989,2883318,8.9,3.36,Africa
Chad,TCD,2018,4.486,502678,1565330,6.6,1.89,Africa
Comoros,COM,2018,3.973,26579,79675,5.4,7.78,Africa
