Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Sri Lanka,LKA,2019,14,Asia
Tajikistan,TJK,2019,4.3,Asia
Thailand,THA,2019,8.8,Asia
Turkey,TUR,2019,2.4,Asia
Turkmenistan,TKM,2019,5.7,Asia
United Arab Emirates,ARE,2019,6.4,Asia
Uzbekistan,UZB,2019,8,Asia
Vietnam,VNM,2019,7.5,Asia
Yemen,YEM,2019,5.8,Asia
Belgium,BEL,2005,20.7,Europe
Denmark,DNK,2005,14.8,Europe
France,FRA,2005,19.1,Europe
Germany,DEU,2005,13.3,Europe
Greece,GRC,2005,3.7,Europe
Hungary,HUN,2005,26.4,Europe
Italy,ITA,2005,6.7,Europe
Netherlands,NLD,2005,9.8,Europe
Poland,POL,2005,17.7,Europe
Romania,ROU,2005,12.3,Europe
Spain,ESP,2005,8,Europe
Sweden,SWE,2005,15.7,Europe
United Kingdom,GBR,2005,7.9,Europe
Armenia,ARM,2006,5.9,Europe
Austria,AUT,2006,16.4,Europe
Azerbaijan,AZE,2006,4.7,Europe
Belarus,BLR,2006,40.9,Europe
Cyprus,CYP,2006,3.5,Europe
Estonia,EST,2006,20.9,Europe
Finland,FIN,2006,21,Europe
France,FRA,2006,18.5,Europe
Georgia,GEO,2006,6.2,Europe
Ireland,IRL,2006,10.9,Europe
Latvia,LVA,2006,23.2,Europe
Lithuania,LTU,2006,35.2,Europe
Moldova,MDA,2006,19.7,Europe
Norway,NOR,2006,12.8,Europe
Portugal,PRT,2006,11.5,Europe
Slovakia,SVK,2006,14.5,Europe
Slovenia,SVN,2006,27.9,Europe
Switzerland,CHE,2006,18.8,Europe
Ukraine,UKR,2006,30.8,Europe
Albania,ALB,2007,8.1,Europe
Armenia,ARM,2007,5.8,Europe
Azerbaijan,AZE,2007,4.9,Europe
Belarus,BLR,2007,36.8,Europe
Belgium,BEL,2007,18.7,Europe
Bosnia and Herzegovina,BIH,2007,11.5,Europe
Bulgaria,BGR,2007,12.5,Europe
Croatia,HRV,2007,18.1,Europe
Denmark,DNK,2007,12.6,Europe
Estonia,EST,2007,21.4,Europe
Georgia,GEO,2007,6.1,Europe
Germany,DEU,2007,12.4,Europe
Greece,GRC,2007,3,Europe
Hungary,HUN,2007,25,Europe
Italy,ITA,2007,6.7,Europe
Latvia,LVA,2007,20.9,Europe
Lithuania,LTU,2007,34.5,Europe
Moldova,MDA,2007,17.2,Europe
Montenegro,MNE,2007,21,Europe
Netherlands,NLD,2007,8.4,Europe
Poland,POL,2007,15.7,Europe
Romania,ROU,2007,11.6,Europe
Serbia,SRB,2007,18.7,Europe
Spain,ESP,2007,7.4,Europe
Sweden,SWE,2007,14.5,Europe
Ukraine,UKR,2007,31.5,Europe
United Kingdom,GBR,2007,7.6,Europe
Armenia,ARM,2008,4.8,Europe
Austria,AUT,2008,15.8,Europe
Azerbaijan,AZE,2008,4.7,Europe
Belarus,BLR,2008,36.7,Europe
Belgium,BEL,2008,20.3,Europe
Denmark,DNK,2008,13.1,Europe
Estonia,EST,2008,19.4,Europe
Finland,FIN,2008,20.6,Europe
France,FRA,2008,18.2,Europe
Georgia,GEO,2008,7.5,Europe
Germany,DEU,2008,12.5,Europe
Iceland,ISL,2008,14.8,Europe
Ireland,IRL,2008,12.2,Europe
Italy,ITA,2008,6.9,Europe
Latvia,LVA,2008,26.4,Europe
Lithuania,LTU,2008,37.8,Europe
Moldova,MDA,2008,19.1,Europe
Netherlands,NLD,2008,9,Europe
Norway,NOR,2008,11.8,Europe
Portugal,PRT,2008,13.1,Europe
Spain,ESP,2008,7.8,Europe
Sweden,SWE,2008,15,Europe
Ukraine,UKR,2008,30.9,Europe
United Kingdom,GBR,2008,8.1,Europe
Albania,ALB,2009,8.1,Europe
Armenia,ARM,2009,4.8,Europe
Azerbaijan,AZE,2009,4.6,Europe
Belarus,BLR,2009,36.5,Europe
Bosnia and Herzegovina,BIH,2009,10.7,Europe
Croatia,HRV,2009,18.3,Europe
Cyprus,CYP,2009,4.5,Europe
Denmark,DNK,2009,12.9,Europe
Estonia,EST,2009,23.3,Europe
France,FRA,2009,18.4,Europe
Georgia,GEO,2009,8.5,Europe
Germany,DEU,2009,12.8,Europe
Greece,GRC,2009,3.6,Europe
Hungary,HUN,2009,25.4,Europe
Ireland,IRL,2009,14,Europe
Italy,ITA,2009,7,Europe
Latvia,LVA,2009,26.3,Europe
Lithuania,LTU,2009,39.2,Europe
Luxembourg,LUX,2009,11.3,Europe
Malta,MLT,2009,6.9,Europe
Moldova,MDA,2009,19.7,Europe
Montenegro,MNE,2009,20.9,Europe
Poland,POL,2009,19.2,Europe
Romania,ROU,2009,12.2,Europe
Serbia,SRB,2009,19.5,Europe
Slovenia,SVN,2009,22.5,Europe
Spain,ESP,2009,7.6,Europe
Sweden,SWE,2009,15.7,Europe
Switzerland,CHE,2009,16,Europe
Ukraine,UKR,2009,26.3,Europe
United Kingdom,GBR,2009,8,Europe
Albania,ALB,2010,7.8,Europe
Armenia,ARM,2010,6.8,Europe
Austria,AUT,2010,16.1,Europe
Azerbaijan,AZE,2010,4.6,Europe
Belarus,BLR,2010,35.9,Europe
Belgium,BEL,2010,20.5,Europe
Bosnia and Herzegovina,BIH,2010,10.5,Europe
Bulgaria,BGR,2010,12.4,Europe
Croatia,HRV,2010,18.3,Europe
Cyprus,CYP,2010,5.3,Europe
Denmark,DNK,2010,11.8,Europe
Finland,FIN,2010,18.6,Europe
France,FRA,2010,18.2,Europe
Georgia,GEO,2010,8.3,Europe
Germany,DEU,2010,13.2,Europe
Greece,GRC,2010,3.5,Europe
